query_id	corpus_id	score
GQ_1	1-0	1
GQ_2	1-0	1
GQ_3	1-0	1
GQ_4	1-0	1
GQ_5	2-0	1
GQ_6	2-0	1
GQ_7	2-0	1
GQ_8	2-0	1
GQ_9	2-0	1
GQ_10	2-0	1
GQ_11	2-0	1
GQ_12	2-0	1
GQ_13	2-0	1
GQ_14	2-0	1
GQ_15	2-0	1
GQ_16	2-0	1
GQ_17	2-0	1
GQ_18	2-0	1
GQ_19	2-0	1
GQ_20	2-0	1
GQ_21	2-0	1
GQ_22	2-0	1
GQ_23	2-0	1
GQ_24	2-0	1
GQ_25	2-0	1
GQ_26	3-0	1
GQ_27	3-0	1
GQ_28	3-0	1
GQ_29	3-0	1
GQ_30	3-0	1
GQ_31	3-0	1
GQ_32	3-0	1
GQ_33	3-0	1
GQ_34	4-0	1
GQ_35	4-0	1
GQ_36	4-0	1
GQ_37	4-0	1
GQ_38	4-0	1
GQ_39	4-0	1
GQ_40	4-0	1
GQ_41	4-0	1
GQ_42	4-0	1
GQ_43	4-0	1
GQ_44	4-0	1
GQ_45	4-0	1
GQ_46	4-0	1
GQ_47	4-0	1
GQ_48	4-0	1
GQ_49	5-0	1
GQ_50	5-0	1
GQ_51	5-0	1
GQ_52	5-0	1
GQ_53	5-0	1
GQ_54	5-0	1
GQ_55	5-0	1
GQ_56	5-0	1
GQ_57	5-0	1
GQ_58	5-0	1
GQ_59	5-0	1
GQ_60	5-0	1
GQ_61	6-0	1
GQ_62	6-0	1
GQ_63	6-0	1
GQ_64	6-0	1
GQ_65	6-0	1
GQ_66	7-0	1
GQ_67	8-0	1
GQ_68	8-0	1
GQ_69	8-0	1
GQ_70	9-0	1
GQ_71	9-0	1
GQ_72	9-0	1
GQ_73	9-0	1
GQ_74	9-0	1
GQ_75	9-0	1
GQ_76	9-0	1
GQ_77	9-0	1
GQ_78	9-0	1
GQ_79	9-0	1
GQ_80	9-0	1
GQ_81	9-0	1
GQ_82	9-0	1
GQ_83	9-0	1
GQ_84	9-0	1
GQ_85	9-0	1
GQ_86	9-0	1
GQ_87	9-0	1
GQ_88	9-0	1
GQ_89	9-0	1
GQ_90	9-0	1
GQ_91	9-0	1
GQ_92	9-0	1
GQ_93	9-0	1
GQ_94	9-0	1
GQ_95	9-0	1
GQ_96	9-0	1
GQ_97	9-0	1
GQ_98	9-1	1
GQ_99	9-1	1
GQ_100	9-1	1
GQ_101	9-1	1
GQ_102	9-1	1
GQ_103	10-0	1
GQ_104	10-0	1
GQ_105	10-0	1
GQ_106	10-0	1
GQ_107	11-0	1
GQ_108	11-0	1
GQ_109	11-0	1
GQ_110	11-0	1
GQ_111	11-0	1
GQ_112	12-0	1
GQ_113	12-0	1
GQ_114	12-0	1
GQ_115	12-0	1
GQ_116	12-0	1
GQ_117	12-0	1
GQ_118	12-0	1
GQ_119	13-0	1
GQ_120	13-0	1
GQ_121	13-0	1
GQ_122	13-0	1
GQ_123	13-0	1
GQ_124	13-0	1
GQ_125	13-0	1
GQ_126	13-0	1
GQ_127	13-0	1
GQ_128	13-0	1
GQ_129	13-0	1
GQ_130	13-0	1
GQ_131	13-0	1
GQ_132	13-0	1
GQ_133	14-0	1
GQ_134	14-0	1
GQ_135	15-0	1
GQ_136	15-0	1
GQ_137	15-0	1
GQ_138	15-0	1
GQ_139	15-0	1
GQ_140	15-0	1
GQ_141	16-0	1
GQ_142	16-0	1
GQ_143	16-0	1
GQ_144	16-0	1
GQ_145	16-0	1
GQ_146	16-0	1
GQ_147	16-0	1
GQ_148	16-0	1
GQ_149	16-0	1
GQ_150	16-0	1
GQ_151	16-0	1
GQ_152	16-0	1
GQ_153	16-0	1
GQ_154	16-0	1
GQ_155	16-0	1
GQ_156	16-0	1
GQ_157	16-0	1
GQ_158	16-0	1
GQ_159	16-0	1
GQ_160	16-0	1
GQ_161	16-0	1
GQ_162	16-1	1
GQ_163	16-1	1
GQ_164	17-0	1
GQ_165	17-0	1
GQ_166	17-0	1
GQ_167	17-0	1
GQ_168	17-0	1
GQ_169	17-0	1
GQ_170	18-0	1
GQ_171	18-0	1
GQ_172	18-0	1
GQ_173	18-0	1
GQ_174	18-0	1
GQ_175	18-0	1
GQ_176	18-0	1
GQ_177	18-0	1
GQ_178	18-0	1
GQ_179	18-0	1
GQ_180	19-0	1
GQ_181	19-0	1
GQ_182	19-0	1
GQ_183	19-0	1
GQ_184	19-0	1
GQ_185	19-0	1
GQ_186	19-0	1
GQ_187	19-0	1
GQ_188	19-0	1
GQ_189	19-0	1
GQ_190	19-0	1
GQ_191	19-0	1
GQ_192	19-0	1
GQ_193	19-0	1
GQ_194	19-0	1
GQ_195	19-0	1
GQ_196	19-0	1
GQ_197	19-0	1
GQ_198	19-0	1
GQ_199	19-1	1
GQ_200	19-1	1
GQ_201	19-1	1
GQ_202	19-1	1
GQ_203	19-1	1
GQ_204	19-1	1
GQ_205	19-1	1
GQ_206	19-1	1
GQ_207	19-1	1
GQ_208	20-0	1
GQ_209	20-0	1
GQ_210	20-0	1
GQ_211	20-0	1
GQ_212	20-0	1
GQ_213	20-0	1
GQ_214	20-0	1
GQ_215	20-0	1
GQ_216	20-0	1
GQ_217	20-0	1
GQ_218	20-0	1
GQ_219	20-0	1
GQ_220	20-0	1
GQ_221	20-0	1
GQ_222	20-0	1
GQ_223	20-0	1
GQ_224	21-0	1
GQ_225	21-0	1
GQ_226	21-0	1
GQ_227	21-0	1
GQ_228	21-0	1
GQ_229	21-0	1
GQ_230	21-0	1
GQ_231	21-0	1
GQ_232	21-0	1
GQ_233	22-0	1
GQ_234	22-0	1
GQ_235	22-0	1
GQ_236	22-0	1
GQ_237	22-0	1
GQ_238	22-0	1
GQ_239	22-0	1
GQ_240	22-0	1
GQ_241	22-0	1
GQ_242	22-0	1
GQ_243	22-0	1
GQ_244	22-0	1
GQ_245	22-0	1
GQ_246	22-0	1
GQ_247	22-0	1
GQ_248	22-0	1
GQ_249	22-0	1
GQ_250	22-0	1
GQ_251	22-0	1
GQ_252	22-0	1
GQ_253	22-0	1
GQ_254	22-0	1
GQ_255	22-0	1
GQ_256	22-0	1
GQ_257	22-1	1
GQ_258	22-1	1
GQ_259	22-1	1
GQ_260	22-1	1
GQ_261	22-1	1
GQ_262	22-1	1
GQ_263	22-1	1
GQ_264	23-0	1
GQ_265	23-0	1
GQ_266	23-0	1
GQ_267	23-0	1
GQ_268	23-0	1
GQ_269	23-0	1
GQ_270	23-0	1
GQ_271	23-0	1
GQ_272	23-0	1
GQ_273	23-0	1
GQ_274	23-0	1
GQ_275	23-0	1
GQ_276	23-0	1
GQ_277	23-0	1
GQ_278	23-0	1
GQ_279	23-0	1
GQ_280	23-0	1
GQ_281	23-0	1
GQ_282	23-0	1
GQ_283	23-0	1
GQ_284	23-0	1
GQ_285	23-0	1
GQ_286	23-0	1
GQ_287	23-0	1
GQ_288	23-1	1
GQ_289	23-1	1
GQ_290	23-1	1
GQ_291	23-1	1
GQ_292	23-1	1
GQ_293	23-1	1
GQ_294	23-1	1
GQ_295	23-1	1
GQ_296	24-0	1
GQ_297	24-0	1
GQ_298	24-0	1
GQ_299	24-0	1
GQ_300	24-0	1
GQ_301	24-0	1
GQ_302	24-0	1
GQ_303	24-0	1
GQ_304	24-0	1
GQ_305	24-0	1
GQ_306	24-0	1
GQ_307	24-0	1
GQ_308	24-0	1
GQ_309	24-0	1
GQ_310	24-0	1
