query-id	corpus-id	score
genQ1	1	1
genQ2	1	1
genQ3	1	1
genQ4	2	1
genQ5	2	1
genQ6	2	1
genQ7	3	1
genQ8	3	1
genQ9	3	1
genQ10	4	1
genQ11	4	1
genQ12	4	1
genQ13	5	1
genQ14	5	1
genQ15	5	1
genQ16	6	1
genQ17	6	1
genQ18	6	1
genQ19	7	1
genQ20	7	1
genQ21	7	1
genQ22	8	1
genQ23	8	1
genQ24	8	1
genQ25	9	1
genQ26	9	1
genQ27	10	1
genQ28	10	1
genQ29	10	1
genQ30	11	1
genQ31	11	1
genQ32	11	1
genQ33	12	1
genQ34	12	1
genQ35	13	1
genQ36	13	1
genQ37	13	1
genQ38	14	1
genQ39	14	1
genQ40	14	1
genQ41	15	1
genQ42	15	1
genQ43	15	1
genQ44	16	1
genQ45	16	1
genQ46	16	1
genQ47	17	1
genQ48	17	1
genQ49	17	1
genQ50	18	1
genQ51	19	1
genQ52	19	1
genQ53	19	1
genQ54	20	1
genQ55	20	1
genQ56	20	1
genQ57	21	1
genQ58	21	1
genQ59	21	1
genQ60	22	1
genQ61	22	1
genQ62	22	1
genQ63	23	1
genQ64	23	1
genQ65	23	1
genQ66	24	1
genQ67	24	1
genQ68	24	1
genQ69	25	1
genQ70	25	1
genQ71	26	1
genQ72	26	1
genQ73	27	1
genQ74	27	1
genQ75	27	1
genQ76	28	1
genQ77	28	1
genQ78	28	1
genQ79	29	1
genQ80	29	1
genQ81	29	1
genQ82	30	1
genQ83	30	1
genQ84	30	1
genQ85	31	1
genQ86	31	1
genQ87	31	1
genQ88	32	1
genQ89	32	1
genQ90	32	1
genQ91	33	1
genQ92	33	1
genQ93	33	1
genQ94	34	1
genQ95	34	1
genQ96	34	1
genQ97	35	1
genQ98	35	1
genQ99	35	1
genQ100	36	1
genQ101	36	1
genQ102	36	1
genQ103	37	1
genQ104	37	1
genQ105	37	1
genQ106	38	1
genQ107	38	1
genQ108	38	1
genQ109	39	1
genQ110	39	1
genQ111	39	1
genQ112	40	1
genQ113	40	1
genQ114	40	1
genQ115	41	1
genQ116	41	1
genQ117	41	1
genQ118	42	1
genQ119	42	1
genQ120	42	1
genQ121	43	1
genQ122	43	1
genQ123	43	1
genQ124	44	1
genQ125	44	1
